Expert,Simple,cancer,source,page
"For these people, some experts recommend screening with regular anal cytology testing (also known as an anal Pap test or anal Pap smear because it is much like a Pap test for cervical cancer).  ",For this group it is also recommended that they receive regular anal cytology testing. Also known as an anal Pap test or  smear because it is much like a Pap test for cervical cancer).  ,Anal,ACS,Screening
"For an anal Pap test, the anal lining is swabbed, and cells that come off on the swab are looked at closely in the lab.  ","For an anal Pap test, the lining of the anus is swabbed, and the cells are looked at closely in the lab for changes.  ",Anal,ACS,Screening
The anal pap test can then be followed by a DRE or a procedure called an anoscopy .  ,The anal pap test can then be followed by a DRE or a procedure called an anoscopy (a small tube is inserted into the anus to view the tissue).  ,Anal,ACS,Screening
"The anal Pap test has not been studied enough to know how often it should be done, or if it actually reduces the risk of anal cancer by catching AIN early.  ",The anal Pap test has not been studied enough to know how often it should be done. Some experts recommend that the test be done in at-risk people who are: >Annually HIV-positive. >every 2 to 3 years in at-risk people who are HIV-negative.  ,Anal,ACS,Screening
"Some experts recommend that the test be done every year in at-risk people who are HIV-positive, and every 2 to 3 years in at-risk people who are HIV-negative.  ","Some experts recommend that the test be done every year in at-risk people who are HIV-positive, and every 2 to 3 years in at-risk people who are HIV-negative.  ",Anal,ACS,Screening
"But there is no widespread agreement on the best screening schedule, or even exactly which groups of people can benefit from screening.  ","There is no widespread agreement on the best screening schedule, or even exactly which groups of people can benefit from screening.  ",Anal,ACS,Screening
Patients with positive results on an anal Pap test should be referred for a biopsy.  ,Patients with positive results on an anal Pap test should receive a biopsy.  ,Anal,ACS,Screening
"If AIN is found on the biopsy, it might need to be treated (especially if it is high-grade).","If AIN is found on the biopsy, it might need to be treated (especially if it is high-grade).",Anal,ACS,Screening
Anal cancer is a type of cancer that starts in the anus. ,Anal cancer is a type of cancer that starts in the part of the body where bowel movement come out (anus). ,Anal,ACS,Screening
Cancer starts when cells in the body begin to grow out of control. ,Cancer starts when cells in the body begin to grow out of control. ,Anal,ACS,Screening
"To learn more about how cancers start and spread, see What Is Cancer?","To learn more about how cancers start and spread, see What Is Cancer?",Anal,ACS,Screening
Normal structure and function of the anus,Normal structure and function of the anus,Anal,ACS,Screening
The anus is the opening at the lower end of the intestines. ,The anus is the opening where bowel movements come out of your body. ,Anal,ACS,Screening
It's where the end of the intestines connect to the outside of the body. ,It's where the end of the intestines connect to the outside of the body. ,Anal,ACS,Screening
"As food is digested, it passes from the stomach to the small intestine. ","As food is broken down in your body, it passes from the stomach to the section of the gut called the small intestine. ",Anal,ACS,Screening
Only a small number of bile duct cancers are found before they have spread too far to be removed by surgery. ,Only a small number of bile duct cancers are found early.  Most are found when they have spread too far to be taken out with surgery. ,Bile,ACS,Screening
"The bile ducts are deep inside the body, so small tumors can’t be seen or felt during routine physical exams. ","The bile ducts are way down inside the body, so small areas of cancer can’t be seen or felt when you go to the doctor for a regular visit. ",Bile,ACS,Screening
There are no blood tests or other tests that can reliably detect bile duct cancers early enough to be useful as screening tests. ,Looking for cancer in people who are not having any problems is called screening.  There are no blood tests or other tests that can help screen people for bile duct cancer.,Bile,ACS,Screening
(Screening is testing for cancer in people without any symptoms.) ,(Screening is testing for cancer in people without any symptoms.),Bile,ACS,Screening
"Because of this, most bile duct cancers are found only after the cancer has grown enough to cause signs or symptoms. ","Because of this, most bile duct cancers are found after the cancer has grown big enough to cause problems (or symptoms).",Bile,ACS,Screening
"The most common symptom is jaundice, a yellowing of the skin and eyes, which is caused by a blocked bile duct.","The most common symptom is jaundice, when your skin and the white part of your eyes look yellow. This is caused by a clogged up bile duct.",Bile,ACS,Screening
Anything that increases your chance of getting a disease is called a risk factor. ,Anything that increases your chance of getting a disease is called a risk factor. ,Bile,NCI,Prevention
There are several risk factors associated with bile duct cancer . ,There are several risk factors associated with bile duct cancer . ,Bile,NCI,Prevention
"Not everyone with one or more of these risk factors will develop the disease, and the disease will develop in some people who don’t have any known risk factors. ",Not everyone with one or more of these risk factors will develop the disease. The disease may develop in some people who don’t have any known risk factors. ,Bile,NCI,Prevention
People who think they may be at risk should discuss this with their doctor. ,People who think they may be at risk should discuss this with their doctor. ,Bile,NCI,Prevention
"Risk factors for bile duct cancer include the following conditions: >primary sclerosing cholangitis (a progressive disease in which the bile ducts become blocked by inflammation and scarring) >chronic ulcerative colitis >cysts in the bile ducts (cysts block the flow of bile and can cause swollen bile ducts, inflammation, and infection ) >infection with a Chinese liver fluke parasite There are actions you can take that can help to decrease your risk of getting cancer. ","Risk factors for bile duct cancer include the following conditions: >primary sclerosing cholangitis (a progressive disease in which the bile ducts become blocked by inflammation and scarring). >chronic ulcerative colitis >cysts in the bile ducts (cysts block the flow of bile and can cause swollen bile ducts, inflammation, and infection ). >infection with a Chinese liver parasite (Fluke). There are actions you can take that can help to decrease your risk of getting cancer. ",Bile,NCI,Prevention
"To learn more about ways to prevent cancer, see Cancer Prevention Overview . ","To learn more about ways to prevent cancer, see Cancer Prevention Overview . ",Bile,NCI,Prevention
"If you would like to reproduce some or all of this content, see Reuse of NCI Information for guidance about copyright and permissions. ","If you would like to reproduce some or all of this content, see Reuse of NCI Information for guidance about copyright and permissions. ",Bile,NCI,Prevention
"In the case of permitted digital reproduction, please credit the National Cancer Institute as the source and link to the original NCI product using the original product's title; e.g., “Bile Duct Cancer Causes and Risk Factors was originally published by the National Cancer Institute.” ","In the case of permitted digital reproduction, please credit the National Cancer Institute as the source and link to the original NCI product using the original product's title; e.g., “Bile Duct Cancer Causes and Risk Factors was originally published by the National Cancer Institute.” ",Bile,NCI,Prevention
Want to use this content on your website or other digital platform? ,Want to use this content on your website or other digital platform? ,Bile,NCI,Prevention
Our syndication services page shows you how.,Our syndication services page shows you how.,Bile,NCI,Prevention
Screening is the process of looking for cancer or pre-cancer in people who have no symptoms of the disease. ,Screening is looking for cancer or pre-cancer in people who are not having any problems.  ,CRC,ACS,Screening
Regular colorectal cancer screening is one of the most powerful tools against colorectal cancer. ,Getting screened a lot is one of the most important ways to keep from getting colorectal cancer.  This is called regular screening.,CRC,ACS,Screening
"Screening can often find colorectal cancer early , when it's small, hasn't spread, and might be easier to treat. ","A lot of the time, screening can find colorectal cancer early, when it is small, has not moved to other parts of the body, and might be easier to take care of.  ",CRC,ACS,Screening
Regular screening can even prevent colorectal cancer . ,Regular screening can even keep you from getting colorectal cancer. ,CRC,ACS,Screening
A polyp can take as many as 10 to 15 years to develop into cancer. ,It can take up to 10 to 15 years for a polyp to turn into cancer.   ,CRC,ACS,Screening
"With screening, doctors can find and remove polyps before they have the chance to turn into cancer.","By screening, doctors can find and take out polyps before they have time to turn into cancer.",CRC,ACS,Screening
Why is colorectal cancer screening important?,Why is colorectal cancer screening important?,CRC,ACS,Screening
Colorectal cancer is a leading cause of cancer death in the US. ,Colorectal cancer is one of the top cancers that cause people to die in the US. ,CRC,ACS,Screening
"But the death rate (the number of deaths per 100,000 people per year) of colorectal cancer has been dropping for several decades. ",But the number of people who die from colorectal cancer each year gets lower all the time.  ,CRC,ACS,Screening
One reason for this is that colorectal polyps are now more often found by screening and removed before they can develop into cancers. ,One reason for this is that now more colorectal polyps are found by screening and taken out before they can turn into cancers. ,CRC,ACS,Screening
"When colorectal cancer is found at an early stage before it has spread, the 5-year relative survival rate is about 90%. ","When colorectal cancer is found very early and before it has spread, most people who get treatment for it will still be alive 5 years later.  ",CRC,ACS,Screening
But only about 4 out of 10 colorectal cancers are found at this early stage. ,But only about 4 out of 10 colorectal cancers are found when they are that early.    ,CRC,ACS,Screening
"When cancer has spread outside the colon or rectum, survival rates are lower. ","When cancer has spread outside the colon or rectum, the number of people who will still be alive 5 years later is much smaller.  ",CRC,ACS,Screening
"Unfortunately, about 1 in 3 people in the US who should get tested for colorectal cancer have never been screened. ",About 1 out of 3 people in the US who need to get tested for colorectal cancer have never been screened. ,CRC,ACS,Screening
"This may be because they don't know that regular testing could save their lives from this disease, or due to things like cost and health insurance coverage issues. ",This may be because they don't know that screening could keep them from getting colorectal cancer.  It may also be because it costs too much and their health insurance does not cover it.  ,CRC,ACS,Screening
See Colorectal Cancer Screening Tests for more on the tests used to screen for colorectal cancer. ,See Colorectal Cancer Screening Tests for more on the tests used to screen for colorectal cancer. ,CRC,ACS,Screening
American Cancer Society Recommendations for Colorectal Cancer Early Detection has our guidelines for using these tests to find colorectal cancer and polyps.,American Cancer Society Recommendations for Colorectal Cancer Early Detection has our guidelines for using these tests to find colorectal cancer and polyps.,CRC,ACS,Screening
"Your risk of getting colorectal cancer increases as you get older, but getting regular physical activity and keeping a healthy weight may help lower your risk. ",Your risk of getting colorectal cancer increases as you get older. Getting regular physical activity and keeping a healthy weight may help lower your risk. ,CRC,CDC,Prevention
Your risk of getting colorectal cancer increases as you get older. ,Your risk of getting colorectal cancer increases as you get older.,CRC,CDC,Prevention
Other risk factors include having— >Inflammatory bowel disease such as Crohn’s disease or ulcerative colitis. ,Other risk factors include having >Inflammatory bowel disease such as Crohn’s disease or ulcerative colitis. ,CRC,CDC,Prevention
>A personal or family history of colorectal cancer or colorectal polyps. ,>A personal or family history of colorectal cancer or colorectal polyps. ,CRC,CDC,Prevention
>A genetic syndrome such as familial adenomatous polyposis (FAP) or hereditary non-polyposis colorectal cancer (Lynch syndrome). ,>A genetic syndrome such as familial adenomatous polyposis (FAP) or hereditary non-polyposis colorectal cancer (Lynch syndrome). ,CRC,CDC,Prevention
Lifestyle factors that may contribute to an increased risk of colorectal cancer include,Lifestyle factors that may contribute to an increased risk of colorectal cancer include ,CRC,CDC,Prevention
>Lack of regular physical activity. ,>Lack of regular physical activity. ,CRC,CDC,Prevention
>A diet low in fruit and vegetables. ,>A diet low in fruit and vegetables. ,CRC,CDC,Prevention
">A low-fiber and high-fat diet, or a diet high in processed meats. ",">A low-fiber and high-fat diet, or a diet high in processed meats. ",CRC,CDC,Prevention
">Overweight and obesity, >Alcohol consumption, >Tobacco use. ",">Overweight and obesity, >Alcohol consumption, >Tobacco use. ",CRC,CDC,Prevention
"Abdominal pain, aches, or cramps may be symptoms of colorectal cancer. ","Stomach pain, aches, or cramps might be problems caused by colorectal cancer. ",CRC,CDC,Screening
"If you have any symptoms that worry you, be sure to see your doctor right away. ","If you have any of these problems and they are bothering you, be sure to see your doctor right away (now). ",CRC,CDC,Screening
"Colorectal polyps (abnormal growths in the colon or rectum that can turn into cancer if not removed) and colorectal cancer don’t always cause symptoms, especially at first. ","Colorectal polyps (lumps in the colon or rectum that can turn into cancer if they are not taken out) and colorectal cancer don’t always cause problems (symptoms), especially when they start. ",CRC,CDC,Screening
Someone could have polyps or colorectal cancer and not know it. ,Someone could have polyps or colorectal cancer and not know it. ,CRC,CDC,Screening
That is why getting screened regularly for colorectal cancer is so important. ,Getting screened a lot is one of the most important ways to keep from getting colorectal cancer.  This is called regular screening and it is very important.,CRC,CDC,Screening
"If you have symptoms, they may include— >A change in bowel habits. ",Some of the symptoms can be: >A change in how often you poop. ,CRC,CDC,Screening
>Blood in or on your stool (bowel movement). ,>Blood in or on your poop (bowel movement). ,CRC,CDC,Screening
">Diarrhea, constipation, or feeling that the bowel does not empty all the way. ",">Diarrhea, constipation (not being able to poop), or feeling that you did not finish pooping. ",CRC,CDC,Screening
">Abdominal pain, aches, or cramps that don’t go away. ",">Stomach pain, aches, or cramps that don’t go away. ",CRC,CDC,Screening
>Weight loss and you don’t know why. ,>If you lose weight and don’t know why. ,CRC,CDC,Screening
"If you have any of these symptoms, talk to your doctor. ","If you have any of these symptoms, talk to your doctor. ",CRC,CDC,Screening
They may be caused by something other than cancer. ,They may be caused by a problem other than cancer. ,CRC,CDC,Screening
The only way to know what is causing them is to see your doctor.,The only way to know what is making them happen is to see your doctor.,CRC,CDC,Screening
>What is prevention? ,>What is prevention? ,CRC,NCI,Prevention
>General Information About Colorectal Cancer ,>General Information About Colorectal Cancer ,CRC,NCI,Prevention
>Colorectal Cancer Prevention ,>Colorectal Cancer Prevention ,CRC,NCI,Prevention
>About This PDQ Summary,>About This PDQ Summary,CRC,NCI,Prevention
General Information About Colorectal Cancer,General Information About Colorectal Cancer,CRC,NCI,Prevention
>Colorectal cancer is a disease in which malignant (cancer) cells form in the tissues of the colon or the rectum. ,>Colorectal cancer is a disease in which malignant (cancer) cells form in the tissues of the colon or the rectum. ,CRC,NCI,Prevention
>Colorectal cancer is the third leading cause of death from cancer in the United States.,>Colorectal cancer is the third leading cause of cancer deaths in the United States.,CRC,NCI,Prevention
Colorectal cancer is a disease in which malignant (cancer) cells form in the tissues of the colon or the rectum.,Colorectal cancer is a disease in which malignant (cancer) cells form in the tissues of the colon or the rectum.,CRC,NCI,Prevention
The colon is part of the body's digestive system . ,The colon is part of the body's digestive system . ,CRC,NCI,Prevention
"The digestive system removes and processes nutrients ( vitamins , minerals , carbohydrates , fats, proteins , and water) from foods and helps pass waste material out of the body. ","The digestive system removes and processes nutrients ( vitamins , minerals , carbohydrates , fats, proteins , and water) from foods. Then helps pass the unused waste material from food out of the body. ",CRC,NCI,Prevention
"The digestive system is made up of the mouth, throat , esophagus , stomach , and the small and large intestines . ","The digestive system is made up of the mouth, throat , esophagus , stomach , and the small and large intestines . ",CRC,NCI,Prevention
The colon (large bowel ) is the first part of the large intestine and is about 5 feet long. ,The colon (large bowel) is the first part of the large intestine and is about 5 feet long. ,CRC,NCI,Prevention
"Together, the rectum and anal canal make up the last part of the large intestine and are 6 to 8 inches long. ","Together, the rectum and anal canal make up the last part of the large intestine and are 6 to 8 inches long. ",CRC,NCI,Prevention
The anal canal ends at the anus (the opening of the large intestine to the outside of the body). ,The anal canal ends at the anus (the opening of the large intestine to the outside of the body). ,CRC,NCI,Prevention
"Cancer that begins in the colon is called colon cancer , and cancer that begins in the rectum is called rectal cancer . ","Cancer that begins in the colon is called colon cancer, and cancer that begins in the rectum is called rectal cancer. ",CRC,NCI,Prevention
Cancer that affects either of these organs may also be called colorectal cancer . ,Cancer that affects either of these organs may also be called colorectal cancer. ,CRC,NCI,Prevention
See the following PDQ summaries for more information about colorectal cancer: >Colorectal Cancer Screening >Colon Cancer Treatment >Rectal Cancer Treatment >Genetics of Colorectal Cancer,See the following PDQ summaries for more information about colorectal cancer: >Colorectal Cancer Screening >Colon Cancer Treatment >Rectal Cancer Treatment >Genetics of Colorectal Cancer,CRC,NCI,Prevention
Colorectal cancer is the third leading cause of death from cancer in the United States.,Colorectal cancer is the third leading cause of Cancer deaths in the United States.,CRC,NCI,Prevention
"Between 2011 and 2019, the number of new colorectal cancer cases in the United States decreased slightly per year in people aged 50 years and older, but increased slightly per year in people younger than 50 years. ","Between 2011 and 2019, the number of new colorectal cancer cases in the United States decreased slightly per year in people aged 50 years and older. But increased slightly per year in people younger than 50 years. ",CRC,NCI,Prevention
"For the past 20 years, the rate of deaths from colorectal cancer has been decreasing in both men and women. ","For the past 20 years, the rate of deaths from colorectal cancer has been decreasing in both men and women. ",CRC,NCI,Prevention
"The number of new cases and the number of deaths are higher in Black people compared with other races; however, studies have found no evidence that Black people have higher rates of precancerous lesions. ","The number of new cases and the number of deaths are higher in Black people compared with other races.  However, studies have found no evidence that Black people have higher rates of “precancerous” lesions. ",CRC,NCI,Prevention
Finding and treating colorectal cancer early may prevent death from colorectal cancer. ,Finding and treating colorectal cancer early may prevent death from colorectal cancer. ,CRC,NCI,Prevention
Screening tests may be used to help find colorectal cancer.,Screening tests may be used to help find colorectal cancer.,CRC,NCI,Prevention
Colorectal Cancer Prevention,Colorectal Cancer Prevention,CRC,NCI,Prevention
>Avoiding risk factors and increasing protective factors may help prevent cancer. ,"> Some risk factors may be changed (Modifiable), while others may not (non-modifiable). Avoiding risk factors that can be changed may help prevent cancer. ",CRC,NCI,Prevention
>The following risk factors increase the risk of colorectal cancer:,>The following risk factors increase the risk of colorectal cancer:,CRC,NCI,Prevention
>Family history of colorectal cancer ,>Family history of colorectal cancer ,CRC,NCI,Prevention
The following protective factors decrease the risk of colorectal cancer:,The following factors can decrease the risk of colorectal cancer:,CRC,NCI,Prevention
>Combination hormone replacement therapy ,>Combination hormone replacement therapy ,CRC,NCI,Prevention
>Polyp removal,>Polyp removal ,CRC,NCI,Prevention
>It is not clear if the following affect the risk of colorectal cancer:,> It is not clear if the following affect the risk of colorectal cancer:,CRC,NCI,Prevention
>Nonsteroidal anti-inflammatory drugs (NSAIDs) other than aspirin ,>Nonsteroidal anti-inflammatory drugs (NSAIDs) other than aspirin ,CRC,NCI,Prevention
>The following factors do not affect the risk of colorectal cancer:,>The following factors do not affect the risk of colorectal cancer:,CRC,NCI,Prevention
>Hormone replacement therapy with estrogen only ,>Hormone replacement therapy with estrogen only,CRC,NCI,Prevention
>Cancer prevention clinical trials are used to study ways to prevent cancer.,>Cancer prevention clinical trials are used to study ways to prevent cancer. ,CRC,NCI,Prevention
>New ways to prevent colorectal cancer are being studied in clinical trials.,>Colorectal cancer is being studied in prevention clinical trials.,CRC,NCI,Prevention
Avoiding risk factors and increasing protective factors may help prevent cancer.,Avoiding risk factors and increasing protective factors may help prevent cancer.,CRC,NCI,Prevention
Avoiding cancer risk factors may help prevent certain cancers. ,Avoiding known cancer risk factors may help prevent certain cancers. ,CRC,NCI,Prevention
"Risk factors include smoking, being overweight , and not getting enough exercise. ","Risk factors include smoking, being overweight, and lack of physical activity. ",CRC,NCI,Prevention
Increasing protective factors such as quitting smoking and exercising may also help prevent some cancers. ,Including healthy lifestyle choices such as quitting smoking and increasing physical activity may help prevent some cancers. ,CRC,NCI,Prevention
Talk to your doctor or other health care professional about how you might lower your risk of cancer.,Talk to your doctor or other health care professional about how you might lower your risk of cancer.,CRC,NCI,Prevention
The following risk factors increase the risk of colorectal cancer:,The following risk factors increase the risk of colorectal cancer:,CRC,NCI,Prevention
The risk of colorectal cancer increases after age 50. ,The risk of colorectal cancer increases after age 50. ,CRC,NCI,Prevention
Most cases of colorectal cancer are diagnosed after age 50.,Most cases of colorectal cancer are diagnosed after age 50.,CRC,NCI,Prevention
Family history of colorectal cancer,Family history of colorectal cancer,CRC,NCI,Prevention
"Having a parent, brother, sister, or child with colorectal cancer doubles a person's risk of colorectal cancer.","Having a parent, brother, sister, or child with colorectal cancer doubles a person's risk of colorectal cancer.",CRC,NCI,Prevention
Having a personal history of the following conditions increases the risk of colorectal cancer: >Previous colorectal cancer. ,Having a personal history of the following conditions increases the risk of colorectal cancer: >Previous colorectal cancer. ,CRC,NCI,Prevention
>High-risk adenomas (colorectal polyps that are 1 centimeter or larger in size or that have cells that look abnormal under a microscope ). ,>High-risk adenomas (colorectal polyps that are 1 centimeter or larger in size or that have cells that look abnormal under a microscope ). ,CRC,NCI,Prevention
>Ovarian cancer . ,>Ovarian cancer . ,CRC,NCI,Prevention
>Inflammatory bowel disease (such as ulcerative colitis or Crohn disease ).,>Inflammatory bowel disease (such as ulcerative colitis or Crohn disease ).,CRC,NCI,Prevention
The risk of colorectal cancer is increased when certain gene changes linked to familial adenomatous polyposis (FAP) or hereditary nonpolyposis colon cancer (HNPCC or Lynch Syndrome) are inherited .,The risk of colorectal cancer is increased when certain gene changes are present. Familial adenomatous polyposis (FAP) or hereditary nonpolyposis (HNPCC or Lynch Syndrome) are inherited from a family member and increase the risk of colorectal cancer.,CRC,NCI,Prevention
Drinking 3 or more alcoholic beverages per day increases the risk of colorectal cancer. ,Drinking 3 or more alcoholic beverages per day increases the risk of colorectal cancer. ,CRC,NCI,Prevention
Drinking alcohol is also linked to the risk of forming large colorectal adenomas (benign tumors).,Drinking alcohol is also linked to the risk of forming large colorectal adenomas (benign tumors).,CRC,NCI,Prevention
Cigarette smoking is linked to an increased risk of colorectal cancer and death from colorectal cancer. ,Cigarette smoking is linked to an increased risk of colorectal cancer and death from colorectal cancer. ,CRC,NCI,Prevention
Smoking cigarettes is also linked to an increased risk of forming colorectal adenomas. ,Smoking cigarettes is also linked to an increased risk of forming colorectal adenomas (polyps). ,CRC,NCI,Prevention
Cigarette smokers who have had surgery to remove colorectal adenomas are at an increased risk for the adenomas to recur (come back).,Cigarette smokers who have had surgery to remove colorectal adenomas are at an increased risk for the adenomas to recur (come back).,CRC,NCI,Prevention
Black individuals have an increased risk of colorectal cancer and death from colorectal cancer compared to other races.,Black individuals have an increased risk of colorectal cancer and death from colorectal cancer compared to other races.,CRC,NCI,Prevention
Obesity is linked to an increased risk of colorectal cancer and death from colorectal cancer.,Obesity is linked to an increased risk of colorectal cancer and death from colorectal cancer.,CRC,NCI,Prevention
The following protective factors decrease the risk of colorectal cancer:,The healthy lifestyle choices may decrease the risk of colorectal cancer:,CRC,NCI,Prevention
A lifestyle that includes regular physical activity is linked to a decreased risk of colorectal cancer.,A lifestyle that includes regular physical activity is linked to a decreased risk of colorectal cancer.,CRC,NCI,Prevention
Studies have shown that taking aspirin daily for at least two years lowers the risk of colorectal cancer and the risk of death from colorectal cancer. ,Studies have shown that taking aspirin daily for at least two years lowers the risk of colorectal cancer and the risk of death from colorectal cancer. ,CRC,NCI,Prevention
The decrease in risk begins 10 to 20 years after patients start taking aspirin. ,Contradicts the statement above???,CRC,NCI,Prevention
The possible harms of aspirin use (100 mg or less) daily or every other day include an increased risk of stroke and bleeding in the stomach and intestines . ,Caution with aspirin use (100 mg or less) with increased risk of stroke and bleeding in the stomach and intestines . ,CRC,NCI,Prevention
"These risks may be greater among the elderly, men, and those with conditions linked to a higher than normal risk of bleeding.","This risk may be greater among the elderly, men, and those with conditions linked to a higher than normal risk of bleeding.",CRC,NCI,Prevention
Combination hormone replacement therapy,Combination hormone replacement therapy,CRC,NCI,Prevention
Studies have shown that combination hormone replacement therapy (HRT) that includes both estrogen and progestin lowers the risk of invasive colorectal cancer in postmenopausal women. ,Studies have shown that combination hormone replacement therapy (HRT) that includes both estrogen and progestin lowers the risk of invasive colorectal cancer in postmenopausal women. ,CRC,NCI,Prevention
"However, in women who take combination HRT and do develop colorectal cancer, the cancer is more likely to be advanced when it is diagnosed and the risk of dying from colorectal cancer is not decreased. ","However, in women who take combination HRT and do develop colorectal cancer, the cancer is more likely to be advanced when it is diagnosed and the risk of dying from colorectal cancer is not decreased. ",CRC,NCI,Prevention
The possible harms of combination HRT include an increased risk of having: >Breast cancer . >Heart disease. >Blood clots .,The possible harms of combination HRT include an increased risk of having: >Breast cancer . >Heart disease. >Blood clots .,CRC,NCI,Prevention
"Most colorectal polyps are adenomas, which may develop into cancer. ","Most colorectal polyps are adenomas, which may turn into cancer if not removed. ",CRC,NCI,Prevention
Removing colorectal polyps that are larger than 1 centimeter (pea-sized) may lower the risk of colorectal cancer. ,Removing colorectal polyps that are larger than 1 centimeter (pea-sized) may lower the risk of colorectal cancer. ,CRC,NCI,Prevention
It is not known if removing smaller polyps lowers the risk of colorectal cancer. ,It is not known if removing smaller polyps lowers the risk of colorectal cancer. ,CRC,NCI,Prevention
The possible harms of polyp removal during colonoscopy or sigmoidoscopy include a tear in the wall of the colon and bleeding.,The possible harms of polyp removal during colonoscopy or sigmoidoscopy include a tear in the wall of the colon and bleeding.,CRC,NCI,Prevention
"Because carcinoid tumors usually start out very small and grow and spread slowly, about half of all gastrointestinal carcinoid tumors are found in an early or localized stage, often before they cause any problems. ","Since most carcinoid tumors start out very small and grow and spread slowly, about half of all gastrointestinal carcinoid tumors are found early, or before they cause any problems. ",GI,ACS,Screening
Carcinoid tumors often are found by accident. ,Carcinoid tumors are found by accident a lot of the time. ,GI,ACS,Screening
These tumors aren’t causing any symptoms but are found when tests are done for other reasons or diseases. ,"These tumors aren’t causing any problems, but they are found by accident when the doctor orders tests for other reasons.",GI,ACS,Screening
They may also be found when parts of the gastrointestinal system are removed to treat other diseases. ,They can also be found when parts of the gastrointestinal system are taken out to treat other sicknesses. ,GI,ACS,Screening
"When patients have parts of their stomach or small intestine removed to treat other diseases, taking a close look in the microscope often shows small groups of neuroendocrine cells that look like tiny carcinoid tumors. ","When patients have parts of their stomach or small intestine taken out to treat other problems, sometimes small groups of cells that look like tiny carcinoid tumors can be seen with a microscope. ",GI,ACS,Screening
"Researchers still do not know why some tumors stay small, but others grow large enough to cause symptoms. ","People who study cancer still do not know why some tumors stay small, but others grow big enough to cause problems. ",GI,ACS,Screening
"For example, a person with stomach pain or bleeding may have a test called an upper endoscopy to look for an ulcer. ","For example, a person with stomach pain or bleeding may have a test called an upper endoscopy to look for an ulcer. ",GI,ACS,Screening
"In this test, the doctor looks at the stomach lining through a flexible lighted tube. ","In this test, the doctor looks at the inside of the stomach through a bendable tube with a light on it. ",GI,ACS,Screening
